"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"netCDF_b1"	"IL_130512_1001"	"IL_130512_1002"	"isotopes"	"adduct"	"pcgroup"
201.092999363443	201.092999363443	201.092999363443	1586.68717935106	1586.68717935106	1586.68717935106	1	1	23.8222866402225	209.146725865896	""	""	"582"
202.027147774922	202.027147774922	202.027147774922	688.036625489606	688.036625489606	688.036625489606	1	1	2.46140882682542	352.068749181926	""	""	"357"
205.160293877759	205.160293877759	205.160293877759	1842.92963324666	1842.92963324666	1842.92963324666	1	1	398.790778617513	120.590070865012	""	""	"463"
205.160226521989	205.160226521989	205.160226521989	2174.49391500569	2174.49391500569	2174.49391500569	1	1	50.0254791973629	448.921198526004	""	""	"45"
205.917276578652	205.917276578652	205.917276578652	89.5090565787871	89.5090565787871	89.5090565787871	1	1	3.69216846251114	296.121622468054	""	""	"516"
207.066834508103	207.066834508103	207.066834508103	338.194281321274	338.194281321274	338.194281321274	1	1	23.1441115367251	848.249222090393	""	""	"328"
209.06296989437	209.06296989437	209.06296989437	1942.14600570475	1942.14600570475	1942.14600570475	1	1	18.2795437050505	226.784717536308	""	""	"26"
209.063812902859	209.063812902859	209.063812902859	1994.75442038248	1994.75442038248	1994.75442038248	1	1	40.2187072458823	445.458201591682	""	"[M-H]- 210.071 [2M-3H]3- 315.105"	"17"
210.076136489124	210.075686389685	210.076586588562	2269.89367096568	2269.25536842504	2270.53197350632	2	2	907.075883408554	285.714073311392	""	""	"37"
210.072298319795	210.072298319795	210.072298319795	1886.18019616509	1886.18019616509	1886.18019616509	1	1	20.9910549317066	213.646646311572	""	"[M+Cl]- 175.096"	"4"
210.072721597253	210.072721597253	210.072721597253	1634.14356382975	1634.14356382975	1634.14356382975	1	1	13.6166038713825	2479.82839305034	""	""	"382"
211.075828339642	211.075828339642	211.075828339642	2270.37650164977	2270.37650164977	2270.37650164977	1	1	879.141839627628	296.819189605127	""	""	"37"
212.091854272731	212.091854272731	212.091854272731	2270.37650164977	2270.37650164977	2270.37650164977	1	1	799.81055615237	281.545675272467	""	""	"37"
213.089609126163	213.089609126163	213.089609126163	2270.37650164977	2270.37650164977	2270.37650164977	1	1	1084.06562985942	303.451454860469	""	"[M-H]- 214.097"	"37"
213.023909673337	213.023909673337	213.023909673337	1886.18019616509	1886.18019616509	1886.18019616509	1	1	4.53789958823026	240.584308461866	""	""	"311"
217.051291394051	217.051291394051	217.051291394051	688.036625489606	688.036625489606	688.036625489606	1	1	53.7142729081772	665.361680536444	""	""	"358"
218.986079568299	218.986079568299	218.986079568299	1615.66124958839	1615.66124958839	1615.66124958839	1	1	597.274411053929	78.8438642744562	""	"[M+Cl]- 184.016"	"407"
220.038355316586	220.038355316586	220.038355316586	688.036625489606	688.036625489606	688.036625489606	1	1	31.242612973083	451.592407553203	""	"[M-H]- 221.046 [M-H-CH3]- 236.069"	"13"
220.147153789081	220.147153789081	220.147153789081	2259.78736668002	2259.78736668002	2259.78736668002	1	1	125.982828382006	368.578651159478	""	""	"522"
220.147183952124	220.147183952124	220.147183952124	2141.14168444217	2141.14168444217	2141.14168444217	1	1	99.6385962212462	1433.57666912235	""	""	"133"
220.94056824768	220.94056824768	220.94056824768	89.5090565787871	89.5090565787871	89.5090565787871	1	1	103.24237942835	1348.96514930907	""	"[M-H-CH3]- 236.971"	"92"
221.117887676528	221.117887676528	221.117887676528	1439.88214884679	1439.88214884679	1439.88214884679	1	1	657.068226723777	51.0965554571476	""	""	"198"
